org,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total
cirlabs,0.0,0.0,0.0,2.0,3.0,4.0,5.0,3.0,3.0,6.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,36.0
city-bureau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,18.0,7.0,1.0,3.0,8.0,11.0,57.0
civica-digital,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
civilbeat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
civio,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,17.0,11.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,55.0
condenast,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,2.0,6.0,4.0,9.0,7.0,6.0,5.0,2.0,5.0,58.0
coralproject,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,20.0,15.0,14.0,2.0,5.0,4.0,0.0,0.0,1.0,71.0
cornelldatajournal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0
correctiv,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,13.0,20.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,72.0
courierjournal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,19.0
cunyjschool,0.0,0.0,22.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
dailybeast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
dallasmorningnews,0.0,0.0,0.0,0.0,1.0,0.0,8.0,14.0,33.0,21.0,10.0,7.0,3.0,0.0,6.0,4.0,2.0,109.0
data-liberation-project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,6.0,23.0
datadesk,0.0,2.0,5.0,12.0,4.0,10.0,10.0,12.0,12.0,17.0,23.0,31.0,13.0,9.0,6.0,3.0,0.0,169.0
datahub,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,30.0
datamade,0.0,0.0,0.0,2.0,6.0,14.0,27.0,27.0,29.0,21.0,16.0,10.0,9.0,2.0,5.0,4.0,5.0,177.0
datanews,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
datawrapper,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,19.0
delawaredata,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
denverpost,0.0,0.0,0.0,0.0,1.0,8.0,22.0,42.0,26.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
derspiegel,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0
deseretnews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
dnainfo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
documentcloud,0.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
dowjones,0.0,0.0,0.0,0.0,1.0,2.0,10.0,24.0,9.0,3.0,6.0,8.0,4.0,3.0,3.0,1.0,0.0,74.0
dronejournalismlab,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
dukechronicle,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
dw-data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,10.0,16.0,12.0,13.0,13.0,101.0
economistdigitalsolutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,20.0
enigma-io,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0
financial-times,0.0,0.0,0.0,0.0,0.0,9.0,44.0,113.0,242.0,120.0,74.0,46.0,25.0,14.0,10.0,9.0,2.0,708.0
fiquemsabendo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
firstlookmedia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,27.0
fivethirtyeight,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,23.0
flatwaterfreepress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
folhasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0
francetv,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,23.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,53.0
freedomofpress,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,15.0,17.0,12.0,8.0,9.0,5.0,6.0,9.0,3.0,90.0
frontlinepbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
ft-interactive,0.0,0.0,0.0,0.0,5.0,11.0,12.0,21.0,82.0,88.0,9.0,6.0,1.0,0.0,0.0,1.0,1.0,237.0
ftc-editorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
ftchinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,14.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0,41.0
ftlabs,0.0,0.0,0.0,0.0,4.0,5.0,3.0,4.0,38.0,29.0,10.0,11.0,5.0,0.0,0.0,0.0,0.0,109.0
fullfact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,9.0
gannettdigital,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,26.0
gatehousemedia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0
gawkermedia,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0
gdnmobilelab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
globeandmail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,8.0,17.0,5.0,5.0,0.0,0.0,0.0,50.0
globocom,0.0,0.0,1.0,4.0,29.0,13.0,32.0,13.0,34.0,46.0,42.0,14.0,15.0,12.0,5.0,0.0,1.0,261.0
gmg-special-projects-desk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,12.0
googletrends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,19.0,15.0,7.0,3.0,0.0,2.0,0.0,0.0,81.0
govtrack,0.0,0.0,0.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0
grist-data-desk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,7.0
guardian,0.0,0.0,9.0,15.0,29.0,65.0,130.0,190.0,221.0,236.0,210.0,200.0,190.0,136.0,127.0,91.0,46.0,1895.0
haaretz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,6.0,2.0,2.0,3.0,1.0,4.0,0.0,1.0,38.0
hackshackers,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
hartfordcourant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
harvard-lampoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
hbrgtech,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hearst-dd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
hearst-hatchery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hearstcorp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
hechinger,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
hindustantimeslabs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
houston-chronicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,2.0,1.0,0.0,16.0
howard-center-investigations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,8.0
icfj-org,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
icij,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,8.0,7.0,21.0,3.0,3.0,8.0,5.0,61.0
imedd-lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
infoamazonia,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,1.0,0.0,2.0,2.0,8.0,1.0,0.0,1.0,1.0,30.0
initiumlab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0
inn,0.0,0.0,0.0,0.0,0.0,3.0,10.0,5.0,45.0,27.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,102.0
insideclimatenews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0
insideenergy,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
internews-ke,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
invinst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,18.0
ireapps,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,6.0,3.0,3.0,5.0,4.0,5.0,37.0
irworkshop,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0
journalismai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
jplusplus,0.0,0.0,0.0,0.0,3.0,23.0,15.0,33.0,14.0,11.0,8.0,4.0,2.0,0.0,0.0,1.0,0.0,114.0
kffdata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
khnews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0
kiln,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,16.0,4.0,4.0,0.0,7.0,5.0,3.0,4.0,48.0
kpbs,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kqed,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,16.0
labsletemps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,34.0
lanacioncom,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0
laopinion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,22.0
learninglab,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
lemonde,0.0,0.0,0.0,0.0,2.0,4.0,29.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0
lenfest-institute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
lenfestlab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
liberation,0.0,0.0,2.0,3.0,4.0,8.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
mailonline,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,16.0,10.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,61.0
mashable,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
mcclatchy,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,18.0,9.0,4.0,1.0,0.0,5.0,4.0,0.0,44.0
meedan,0.0,0.0,0.0,2.0,6.0,0.0,7.0,9.0,8.0,6.0,6.0,3.0,8.0,6.0,3.0,1.0,1.0,66.0
miamiherald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0
michiganradio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
micnews,0.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,46.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0
minneapolisstartribune,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,10.0
minnpost,0.0,0.0,0.0,3.0,37.0,38.0,37.0,6.0,12.0,6.0,10.0,6.0,2.0,1.0,10.0,0.0,0.0,168.0
mirror-media,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,2.0,9.0,10.0,4.0,3.0,1.0,44.0
missionlocal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
motherjones,0.0,0.0,0.0,0.0,6.0,13.0,28.0,1.0,0.0,2.0,1.0,3.0,3.0,4.0,6.0,2.0,1.0,70.0
muckrock,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,5.0,3.0,1.0,25.0,21.0,10.0,72.0
natgeosociety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0
nbcnews,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,22.0
news-catalyst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,17.0
newsappajc,0.0,0.0,0.0,0.0,0.0,8.0,2.0,7.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0
newsapps,0.0,0.0,6.0,10.0,7.0,8.0,3.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0
newsappsio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
newscientistapps,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
newsday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
newsdev,0.0,0.0,0.0,0.0,0.0,1.0,3.0,32.0,10.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
newshour,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,9.0
newslynx,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
newsrevenuehub ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0
newyorker,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
niemanlab,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nmg-digital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
npr,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,2.0,2.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,31.0
nprapps,0.0,0.0,0.0,0.0,12.0,41.0,24.0,27.0,25.0,41.0,11.0,9.0,6.0,8.0,1.0,4.0,2.0,211.0
nrkno,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,13.0,28.0,15.0,9.0,7.0,14.0,13.0,7.0,118.0
nuknightlab,0.0,0.0,0.0,0.0,3.0,11.0,10.0,8.0,14.0,12.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,70.0
nydailynews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
nymag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,31.0
nypublicradio,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,27.0,10.0,10.0,7.0,3.0,4.0,5.0,0.0,81.0
nytimes,0.0,0.0,5.0,5.0,3.0,5.0,8.0,5.0,19.0,13.0,3.0,9.0,3.0,6.0,6.0,3.0,0.0,93.0
nytlabs,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0
nzzdev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,14.0,4.0,1.0,3.0,3.0,6.0,1.0,1.0,43.0
occrp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,1.0,0.0,10.0,0.0,1.0,0.0,1.0,30.0
